"ID","PERFIL","PERMISSAO_ID","DATA_CRIACAO"
1,SERVIDOR,1,2025-10-03 09:40:27.859
2,SERVIDOR,4,2025-10-03 09:40:27.859
3,SERVIDOR,5,2025-10-03 09:40:27.859
4,SERVIDOR,2,2025-10-03 09:40:27.859
5,SERVIDOR,3,2025-10-03 09:40:27.859
6,SERVIDOR,7,2025-10-03 09:40:27.859
7,CHEFIA,1,2025-10-03 09:40:32.594
8,CHEFIA,6,2025-10-03 09:40:32.594
9,CHEFIA,5,2025-10-03 09:40:32.594
10,CHEFIA,3,2025-10-03 09:40:32.594
11,CHEFIA,8,2025-10-03 09:40:32.594
12,CHEFIA,7,2025-10-03 09:40:32.594
13,RH,11,2025-10-03 09:40:37.023
14,RH,1,2025-10-03 09:40:37.023
15,RH,6,2025-10-03 09:40:37.023
16,RH,5,2025-10-03 09:40:37.023
17,RH,3,2025-10-03 09:40:37.023
18,RH,8,2025-10-03 09:40:37.023
19,RH,7,2025-10-03 09:40:37.023
20,RH,9,2025-10-03 09:40:37.023
21,ADMIN,1,2025-10-03 09:40:40.879
22,ADMIN,2,2025-10-03 09:40:40.879
23,ADMIN,3,2025-10-03 09:40:40.879
24,ADMIN,4,2025-10-03 09:40:40.879
25,ADMIN,5,2025-10-03 09:40:40.879
26,ADMIN,6,2025-10-03 09:40:40.879
27,ADMIN,7,2025-10-03 09:40:40.879
28,ADMIN,8,2025-10-03 09:40:40.879
29,ADMIN,9,2025-10-03 09:40:40.879
30,ADMIN,10,2025-10-03 09:40:40.879
31,ADMIN,11,2025-10-03 09:40:40.879
