"ID","NOME","DESCRICAO","MODULO","ACAO","DATA_CRIACAO"
1,DASHBOARD_VIEW,Visualizar dashboard,DASHBOARD,VIEW,2025-10-03 09:40:22.697
2,PONTO_REGISTRAR,Registrar ponto,PONTO,CREATE,2025-10-03 09:40:22.701
3,PONTO_VIEW,Visualizar registros de ponto,PONTO,VIEW,2025-10-03 09:40:22.703
4,OCORRENCIAS_CREATE,Criar ocorrências,OCORRENCIAS,CREATE,2025-10-03 09:40:22.705
5,OCORRENCIAS_VIEW,Visualizar ocorrências,OCORRENCIAS,VIEW,2025-10-03 09:40:22.707
6,OCORRENCIAS_APPROVE,Aprovar ocorrências,OCORRENCIAS,APPROVE,2025-10-03 09:40:22.709
7,RELATORIOS_VIEW,Visualizar relatórios,RELATORIOS,VIEW,2025-10-03 09:40:22.711
8,RELATORIOS_EXPORT,Exportar relatórios,RELATORIOS,EXPORT,2025-10-03 09:40:22.713
9,USUARIOS_MANAGE,Gerenciar usuários,USUARIOS,MANAGE,2025-10-03 09:40:22.716
10,SISTEMA_CONFIG,Configurar sistema,SISTEMA,CONFIG,2025-10-03 09:40:22.719
11,AUDITORIA_VIEW,Visualizar auditoria,AUDITORIA,VIEW,2025-10-03 09:40:22.722
